idpub,hsrscorq,hsrankq,gflag_f,gwicr_bm,ghnrs_j,gwicr_j,ghncr_f,gwiiq_bm,ghncr_j,ghnrs_f,ghncr_bm,gflag_bm,gwicr_f,gwiiq_f,gflag_j,ghnrs_bm,gwiiq_j
900018,94,33,2,73,64,73,69,109,80,47,80,1,64,106,2,64,109
900021,99,46,-3,32,51,32,-3,93,44,-3,44,1,-3,-3,2,51,93
900024,102,56,2,51,57,51,62,101,62,44,62,1,55,102,2,57,101
900026,93,32,2,71,63,71,77,109,78,50,78,1,73,109,2,63,109
900034,83,12,2,10,41,10,10,81,19,23,19,1,4,75,2,41,81
900035,80,9,2,5,37,5,1,76,13,11,13,1,0,61,2,37,76
900042,94,33,-3,86,69,86,-3,117,90,-3,90,1,-3,-3,2,69,117
900043,77,6,-3,61,-3,-3,-3,104,-3,-3,70,3,-3,-3,-3,60,-3
900054,71,2,2,65,61,65,59,106,73,43,73,1,52,101,2,61,106
900069,93,32,2,93,73,93,92,123,94,63,94,1,94,124,2,73,123
900071,103,58,-3,48,56,48,-3,99,59,-3,59,1,-3,-3,2,56,99
900074,109,71,2,45,55,45,79,98,56,52,56,1,77,111,2,55,98
900075,111,77,2,93,73,93,85,123,94,55,94,1,83,115,2,73,123
900078,-3,-3,1,93,73,93,85,123,94,55,94,1,83,115,1,73,123
900079,91,26,2,51,-3,-3,67,101,-3,46,62,2,61,104,-3,57.47998046875,-3
900083,-3,-3,-3,2,32,2,-3,71,7,-3,7,1,-3,-3,2,32,71
900094,89,22,-3,13,43,13,-3,83,23,-3,23,1,-3,-3,2,43,83
900096,123,93,-3,96,76,96,-3,127,95,-3,95,1,-3,-3,2,76,127
900101,85,15,-3,19,46,19,-3,87,30,-3,30,1,-3,-3,2,46,87
900106,129,97,2,96,76,96,96,127,95,73,95,1,99,139,2,76,127
900115,-3,-3,-3,98,78,98,-3,133,95,-3,95,1,-3,-3,2,78,133
900117,99,46,2,68,-3,-3,78,107,-3,51,75,2,75,110,-3,62.239990234375,-3
900126,77,6,2,71,63,71,57,109,78,42,78,1,48,99,2,63,109
900134,104,59,1,38,53,38,48,96,50,39,50,1,39,96,1,53,96
900145,108,70,2,61,60,61,82,104,70,54,70,1,82,114,2,60,104
900147,90,24,1,17,45,17,51,86,28,40,28,1,42,97,1,45,86
900148,104,59,-3,86,69,86,-3,117,90,-3,90,1,-3,-3,2,69,117
900151,76,5,2,29,-3,-3,45,92,-3,38,41,2,36,95,-3,49.8499755859375,-3
900154,109,73,2,41,54,41,67,97,53,46,53,1,61,104,2,54,97
900159,129,97,2,96,76,96,96,127,95,73,95,1,99,139,2,76,127
900166,117,86,2,88,70,88,87,118,91,56,91,1,85,116,2,70,118
900167,95,36,2,45,-3,-3,59,98,-3,43,56,2,52,101,-3,54.6199951171875,-3
900170,93,32,2,21,47,21,57,88,33,42,33,1,48,99,2,47,88
900174,104,61,2,35,52,35,45,94,47,38,47,1,36,95,2,52,94
900176,90,24,-3,10,41,10,-3,81,19,-3,19,1,-3,-3,2,41,81
900177,115,83,2,90,71,90,74,120,92,49,92,1,70,108,2,71,120
900181,120,90,2,51,-3,-3,67,101,-3,46,62,2,61,104,-3,57.47998046875,-3
900183,76,5,2,21,47,21,30,88,33,33,33,1,22,89,2,47,88
900189,105,63,-3,93,73,93,-3,123,94,-3,94,1,-3,-3,2,73,123
900197,124,94,2,98,78,98,95,133,95,69,95,1,98,133,2,78,133
900205,105,63,2,79,66,79,82,112,84,54,84,1,82,114,2,66,112
900207,96,39,1,55,58,55,72,102,64,48,64,1,67,107,1,58,102
900208,99,47,2,71,63,71,90,109,78,59,78,1,90,120,2,63,109
900209,113,80,2,84,68,84,90,115,88,60,88,1,91,121,2,68,115
900214,104,61,2,71,63,71,30,109,78,33,78,1,22,89,2,63,109
900215,105,63,-3,76,65,76,-3,111,82,-3,82,1,-3,-3,2,65,111
900217,124,94,1,86,69,86,85,117,90,55,90,1,83,115,1,69,117
900218,139,99,2,86,69,86,85,117,90,55,90,1,83,115,2,69,117
900221,109,72,2,41,54,41,78,97,53,51,53,1,75,110,2,54,97
900226,-3,-3,-3,23,48,23,-3,89,36,-3,36,1,-3,-3,2,48,89
900229,91,26,2,4,35,4,19,75,10,28,10,1,11,82,2,35,75
900232,106,66,2,38,53,38,54,96,50,41,50,1,45,98,2,53,96
900233,88,21,1,45,55,45,85,98,56,55,56,1,83,115,1,55,98
900236,97,42,2,58,59,58,88,103,67,57,67,1,87,117,2,59,103
900241,119,89,-3,61,60,61,-3,104,70,-3,70,1,-3,-3,2,60,104
900243,76,5,2,7,39,7,6,78,15,20,15,1,2,71,2,39,78
900244,99,48,2,61,60,61,78,104,70,51,70,1,75,110,2,60,104
900247,92,30,2,5,37,5,8,76,13,21,13,1,3,73,2,37,76
900249,98,44,2,51,57,51,51,101,62,40,62,1,42,97,2,57,101
900252,115,84,2,96,76,96,95,127,95,69,95,1,98,133,2,76,127
900255,92,29,2,38,53,38,51,96,50,40,50,1,42,97,2,53,96
900260,77,6,2,38,53,38,51,96,50,40,50,1,42,97,2,53,96
900267,84,14,2,55,58,55,51,102,64,40,64,1,42,97,2,58,102
900268,103,57,-3,21,47,21,-3,88,33,-3,33,1,-3,-3,2,47,88
900271,91,27,2,13,43,13,51,83,23,40,23,1,42,97,2,43,83
900273,90,25,-3,79,66,79,-3,112,84,-3,84,1,-3,-3,2,66,112
900274,108,69,2,65,61,65,79,106,73,52,73,1,77,111,2,61,106
900275,115,83,2,86,69,86,95,117,90,70,90,1,98,133,2,69,117
900281,110,74,2,17,45,17,45,86,28,38,28,1,36,95,2,45,86
900283,80,9,2,3,34,3,19,73,9,28,9,1,11,82,2,34,73
900286,79,8,1,61,60,61,65,104,70,45,70,1,58,103,1,60,104
900295,90,24,2,7,39,7,28,78,15,32,15,1,19,87,2,39,78
900299,109,73,2,51,57,51,48,101,62,39,62,1,39,96,2,57,101
900308,105,62,-3,48,56,48,-3,99,59,-3,59,1,-3,-3,2,56,99
900309,110,74,-3,45,55,45,-3,98,56,-3,56,1,-3,-3,2,55,98
900310,91,26,2,5,37,5,39,76,13,36,13,1,30,92,2,37,76
900311,106,65,2,97,77,97,92,129,95,62,95,1,93,123,2,77,129
900316,110,75,2,76,65,76,79,111,82,52,82,1,77,111,2,65,111
900317,104,60,2,35,-3,-3,51,94,-3,40,47,2,42,97,-3,51.7599792480469,-3
900318,113,81,2,76,65,76,74,111,82,49,82,1,70,108,2,65,111
900329,106,64,2,84,68,84,74,115,88,49,88,1,70,108,2,68,115
900330,96,40,-3,45,55,45,-3,98,56,-3,56,1,-3,-3,2,55,98
900332,103,58,2,51,57,51,72,101,62,48,62,1,67,107,2,57,101
900345,87,18,2,81,67,81,65,113,86,45,86,1,58,103,2,67,113
900347,94,34,2,21,47,21,57,88,33,42,33,1,48,99,2,47,88
900348,82,11,2,4,36,4,9,75,11,22,11,1,4,75,2,36,75
900349,133,98,2,95,75,95,93,125,95,67,95,1,97,129,2,75,125
900351,76,5,-3,35,52,35,-3,94,47,-3,47,1,-3,-3,2,52,94
900352,123,93,2,86,69,86,92,117,90,62,90,1,93,123,2,69,117
900353,121,91,2,90,71,90,85,120,92,55,92,1,83,115,2,71,120
900354,112,78,2,81,67,81,89,113,86,58,86,1,88,118,2,67,113
900359,129,97,-3,81,67,81,-3,113,86,-3,86,1,-3,-3,2,67,113
900361,98,45,2,55,58,55,72,102,64,48,64,1,67,107,2,58,102
900365,107,68,2,65,-3,-3,77,106,-3,50,73,2,73,109,-3,61.2899780273438,-3
900369,119,89,2,88,70,88,89,118,91,58,91,1,88,118,2,70,118
900371,129,97,2,88,-3,-3,90,118,-3,59,91,2,90,120,-3,69.8699951171875,-3
900382,110,74,-3,93,73,93,-3,123,94,-3,94,1,-3,-3,2,73,123
900384,93,32,-3,51,-3,-3,-3,101,-3,-3,62,3,-3,-3,-3,57,-3
900387,85,15,1,7,39,7,30,78,15,33,15,1,22,89,1,39,78
900389,102,54,-3,19,46,19,-3,87,30,-3,30,1,-3,-3,2,46,87
